theta1,theta2,thetaPunto1,thetaPunto2
0.24787,-0.758937,-1.16864,-1.98358
0.235798,-0.778191,-1.24509,-1.86714
0.22298,-0.796278,-1.31811,-1.75007
0.209447,-0.81319,-1.38781,-1.63222
0.195234,-0.828919,-1.45433,-1.51347
0.180371,-0.843455,-1.51779,-1.39372
0.164888,-0.856789,-1.57831,-1.27293
0.148814,-0.86891,-1.63604,-1.15103
0.132177,-0.879806,-1.69111,-1.02802
0.115001,-0.889466,-1.74366,-0.903904
0.0973117,-0.89788,-1.79386,-0.778688
0.0791315,-0.905036,-1.84186,-0.652409
0.0604818,-0.910925,-1.88781,-0.525114
0.0413821,-0.915535,-1.93189,-0.396859
0.0218505,-0.918859,-1.97424,-0.267713
0.00190315,-0.920887,-2.01505,-0.137753
-0.0184451,-0.921612,-2.05447,-0.00706373
-0.0391812,-0.921027,-2.09265,0.124258
-0.0602935,-0.919126,-2.12975,0.256106
-0.0817719,-0.915905,-2.1659,0.388363
-0.103607,-0.91136,-2.20121,0.520893
-0.125792,-0.905488,-2.2358,0.653541
-0.14832,-0.898291,-2.26973,0.786127
-0.171183,-0.889769,-2.30303,0.918435
-0.194377,-0.879926,-2.3357,1.05021
-0.217894,-0.86877,-2.36768,1.18113
-0.241726,-0.85631,-2.39885,1.31081
-0.265866,-0.842561,-2.42899,1.43877
-0.2903,-0.827544,-2.45783,1.56444
-0.315015,-0.811284,-2.48495,1.68709
-0.339991,-0.793817,-2.50981,1.80586
-0.365201,-0.775185,-2.53175,1.91968
-0.390613,-0.755444,-2.54991,2.0273
-0.416184,-0.734664,-2.56329,2.12727
-0.44186,-0.712929,-2.57073,2.21793
-0.467576,-0.690341,-2.57094,2.29748
-0.493251,-0.667021,-2.56254,2.36403
-0.518794,-0.643108,-2.54421,2.41579
-0.544099,-0.618759,-2.51478,2.45122
-0.569051,-0.594142,-2.47339,2.46924
-0.593526,-0.569434,-2.41963,2.46943
-0.617401,-0.544813,-2.35363,2.45214
-0.640558,-0.520448,-2.27608,2.41851
-0.662887,-0.496493,-2.18816,2.37036
-0.684291,-0.473083,-2.09139,2.30999
-0.70469,-0.450327,-1.98747,2.23992
-0.724022,-0.42831,-1.87811,2.16268
-0.74224,-0.40709,-1.76489,2.08058
-0.759312,-0.386707,-1.6492,1.99565
-0.77522,-0.36718,-1.53218,1.90953
-0.789955,-0.348514,-1.41473,1.82352
-0.803517,-0.330704,-1.29753,1.73857
-0.81591,-0.313735,-1.18106,1.65534
-0.827143,-0.297588,-1.06565,1.57426
-0.837228,-0.28224,-0.951497,1.49556
-0.846179,-0.267666,-0.838718,1.41935
-0.854009,-0.253843,-0.727356,1.34561
-0.860732,-0.240745,-0.617403,1.27423
-0.866362,-0.228349,-0.508819,1.20508
-0.870913,-0.216635,-0.401543,1.13796
-0.874398,-0.205583,-0.295496,1.07264
-0.876828,-0.195176,-0.190595,1.0089
-0.878214,-0.185399,-0.0867504,0.946469
-0.878567,-0.176242,0.0161262,0.885105
-0.877895,-0.167693,0.118123,0.82455
-0.876207,-0.159748,0.219326,0.764548
-0.873511,-0.152401,0.319816,0.704847
-0.869813,-0.14565,0.419674,0.645201
-0.86512,-0.139496,0.518974,0.585368
-0.859436,-0.133943,0.617789,0.525116
-0.852766,-0.128995,0.716186,0.464219
-0.845114,-0.124661,0.814232,0.40246
-0.836483,-0.120949,0.911987,0.339636
-0.826875,-0.117871,1.00951,0.275552
-0.816293,-0.115442,1.10686,0.210029
-0.804739,-0.113675,1.20408,0.142901
-0.792213,-0.112588,1.30123,0.0740229
-0.778715,-0.1122,1.39833,0.00326667
-0.764247,-0.112528,1.49543,-0.0694693
-0.748807,-0.113595,1.59254,-0.144259
-0.732397,-0.115419,1.68968,-0.221141
-0.715015,-0.118023,1.78683,-0.300115
